subj,age,gender,modality,algorithm,n_trials,pse,jnd,sc,ss,lat_range,lat_entropy,jnd_log,age_z,modality_algorithm,n_trials_f
A07,27,Male,Auditory,Adaptive,140,490.055923889476,25.9204893850519,494.871428571429,44.5266922927205,331,2.141319820128,3.2928876838479844,-0.33452366042801696,Auditory_Adaptive,140
A07,27,Male,Auditory,Fixed,140,478.548275729124,44.9067840954556,500,143.614066163451,450,3.32192809488736,3.8266129077888253,-0.33452366042801696,Auditory_Fixed,140
A07,27,Male,Auditory,Adaptive,160,487.504427428326,24.5022255651695,494.34375,42.7356769682838,331,2.07063703470564,3.2387657254214295,-0.33452366042801696,Auditory_Adaptive,160
A07,27,Male,Auditory,Fixed,160,474.982580510927,42.3863285653218,500,143.614066163451,450,3.32192809488736,3.770144381464655,-0.33452366042801696,Auditory_Fixed,160
A07,27,Male,Auditory,Adaptive,180,486.278668426385,25.5849505989774,493.127777777778,42.1050314432789,331,2.02313451499809,3.280345288725401,-0.33452366042801696,Auditory_Adaptive,180
A07,27,Male,Auditory,Fixed,180,474.988577184138,40.2546104936679,500,143.614066163451,450,3.32192809488736,3.7197628760784043,-0.33452366042801696,Auditory_Fixed,180
A07,27,Male,Auditory,Adaptive,200,487.700036756868,26.933974193076,492.555,41.2619313047754,331,1.95426293193346,3.329843661029641,-0.33452366042801696,Auditory_Adaptive,200
A07,27,Male,Auditory,Fixed,200,479.986889943217,41.7932203695288,500,143.614066163451,450,3.32192809488736,3.7563796874596345,-0.33452366042801696,Auditory_Fixed,200
A08,20,Male,Auditory,Adaptive,40,517.613084572252,30.1813404671971,510.325,65.9823413876774,327,2.83149632952867,3.4398198539562417,-1.2351642846572928,Auditory_Adaptive,40
A08,20,Male,Auditory,Fixed,40,487.442759148523,28.927642639263,500,143.614066163451,450,3.32192809488736,3.3987825562923506,-1.2351642846572928,Auditory_Fixed,40
A08,20,Male,Auditory,Adaptive,60,509.16153912375,32.0555500413005,510.566666666667,57.2248100817197,327,2.61151102206033,3.498189480831651,-1.2351642846572928,Auditory_Adaptive,60
A08,20,Male,Auditory,Fixed,60,491.641900321307,31.6492289182776,500,143.614066163451,450,3.32192809488736,3.48582123885176,-1.2351642846572928,Auditory_Fixed,60
A08,20,Male,Auditory,Adaptive,80,511.437482278003,26.1497321549591,510.35,53.0080418427242,327,2.48591331567113,3.3013671809522425,-1.2351642846572928,Auditory_Adaptive,80
A08,20,Male,Auditory,Fixed,80,487.442759148523,28.927642639263,500,143.614066163451,450,3.32192809488736,3.3987825562923506,-1.2351642846572928,Auditory_Fixed,80
A08,20,Male,Auditory,Adaptive,100,513.10889810959,28.57742335358,510.56,49.7156554819506,327,2.36410229516402,3.3870113457664464,-1.2351642846572928,Auditory_Adaptive,100
A08,20,Male,Auditory,Fixed,100,489.98842192691,45.3547479619507,500,143.614066163451,450,3.32192809488736,3.8363237239165775,-1.2351642846572928,Auditory_Fixed,100
A08,20,Male,Auditory,Adaptive,120,504.750999757619,31.7117899865796,509.125,48.6906155400265,327,2.34376910873991,3.487735562968964,-1.2351642846572928,Auditory_Adaptive,120
A08,20,Male,Auditory,Fixed,120,491.658648214272,43.9609596869148,500,143.614066163451,450,3.32192809488736,3.805794550707155,-1.2351642846572928,Auditory_Fixed,120
A08,20,Male,Auditory,Adaptive,140,503.248874626223,37.4055641945823,505.585714285714,49.3106748388341,327,2.46526558324493,3.6482023499971405,-1.2351642846572928,Auditory_Adaptive,140
A08,20,Male,Auditory,Fixed,140,485.694789403522,46.4856513046247,500,143.614066163451,450,3.32192809488736,3.8604275876085326,-1.2351642846572928,Auditory_Fixed,140
A08,20,Male,Auditory,Adaptive,160,501.028724780223,34.1709087054364,502.1625,50.704275892177,327,2.56248567565168,3.560219283668071,-1.2351642846572928,Auditory_Adaptive,160
A08,20,Male,Auditory,Fixed,160,487.485466754918,45.3961335274837,500,143.614066163451,450,3.32192809488736,3.837216126611085,-1.2351642846572928,Auditory_Fixed,160
A08,20,Male,Auditory,Adaptive,180,500.522441353289,33.5557320317284,500.772222222222,50.6299022927444,327,2.60764045076104,3.542573441857484,-1.2351642846572928,Auditory_Adaptive,180
A08,20,Male,Auditory,Fixed,180,494.436546702751,46.8086593905595,500,143.614066163451,450,3.32192809488736,3.8672067818884526,-1.2351642846572928,Auditory_Fixed,180
A08,20,Male,Auditory,Adaptive,200,498.326708086471,33.1270937118138,499.725,51.4913524293157,327,2.65827041153736,3.530091605815378,-1.2351642846572928,Auditory_Adaptive,200
A08,20,Male,Auditory,Fixed,200,492.487531792537,47.9147310984234,500,143.614066163451,450,3.32192809488736,3.8900786005708308,-1.2351642846572928,Auditory_Fixed,200
A09,28,Male,Auditory,Adaptive,40,506.004104933807,37.2287443256974,494.575,72.1841005693082,347,2.92966348309459,3.643587701908569,-0.20586071410954895,Auditory_Adaptive,40
A09,28,Male,Auditory,Fixed,40,449.999800963525,24.265258924431,500,143.614066163451,450,3.32192809488736,3.229430287036143,-0.20586071410954895,Auditory_Fixed,40
A09,28,Male,Auditory,Adaptive,60,500.173118736819,33.8649119207197,490.1,64.7777482370811,347,2.71939131274786,3.551480934374636,-0.20586071410954895,Auditory_Adaptive,60
A09,28,Male,Auditory,Fixed,60,458.539637119076,23.353686683111,500,143.614066163451,450,3.32192809488736,3.192683241892057,-0.20586071410954895,Auditory_Fixed,60
A09,28,Male,Auditory,Adaptive,80,507.358058937529,32.6200263240057,489.6875,60.9712214388887,347,2.50940876412692,3.5151219109666503,-0.20586071410954895,Auditory_Adaptive,80
A09,28,Male,Auditory,Fixed,80,456.644274451159,20.0224376024381,500,143.614066163451,450,3.32192809488736,3.0455903245881815,-0.20586071410954895,Auditory_Fixed,80
A09,28,Male,Auditory,Adaptive,100,496.304425531638,35.9817072163238,489.2,56.4788455972677,347,2.45159948028262,3.610423390829649,-0.20586071410954895,Auditory_Adaptive,100
A09,28,Male,Auditory,Fixed,100,455.031423959972,29.0494505806775,500,143.614066163451,450,3.32192809488736,3.402844377309163,-0.20586071410954895,Auditory_Fixed,100
A09,28,Male,Auditory,Adaptive,120,486.703705957612,36.7457410753117,486.25,53.6801095999875,347,2.34182105135536,3.6308726501334285,-0.20586071410954895,Auditory_Adaptive,120
A09,28,Male,Auditory,Fixed,120,458.39919387809,27.7900508613241,500,143.614066163451,450,3.32192809488736,3.360029871254136,-0.20586071410954895,Auditory_Fixed,120
A09,28,Male,Auditory,Adaptive,140,484.109217559809,33.8082431665424,484.192857142857,51.3422544483268,347,2.24044854712701,3.5498542313323362,-0.20586071410954895,Auditory_Adaptive,140
A09,28,Male,Auditory,Fixed,140,460.753240660788,30.1706484198536,500,143.614066163451,450,3.32192809488736,3.439476896253075,-0.20586071410954895,Auditory_Fixed,140
A09,28,Male,Auditory,Adaptive,160,480.736980720641,34.4150911240462,483.1875,48.9965799189086,347,2.15125958920679,3.5671380322376054,-0.20586071410954895,Auditory_Adaptive,160
A09,28,Male,Auditory,Fixed,160,459.439576971773,28.1096642676119,500,143.614066163451,450,3.32192809488736,3.371070224458866,-0.20586071410954895,Auditory_Fixed,160
A09,28,Male,Auditory,Adaptive,180,477.900586234456,34.0082077446743,482.044444444444,47.3879757629884,347,2.07358756790621,3.5555825409876416,-0.20586071410954895,Auditory_Adaptive,180
A09,28,Male,Auditory,Fixed,180,461.198073020629,27.214464734608,500,143.614066163451,450,3.32192809488736,3.3398347802898147,-0.20586071410954895,Auditory_Fixed,180
A09,28,Male,Auditory,Adaptive,200,476.343148860177,38.1539631720186,480.925,46.4437226651783,347,2.04975953325406,3.66750164776083,-0.20586071410954895,Auditory_Adaptive,200
A09,28,Male,Auditory,Fixed,200,467.535458830163,29.8388813938427,500,143.614066163451,450,3.32192809488736,3.428776276761133,-0.20586071410954895,Auditory_Fixed,200
A10,31,Female,Auditory,Adaptive,40,532.96553650565,3.81062612153999,507.2,65.9947725202535,328,2.80235800093209,1.5708272464445212,0.180128124845855,Auditory_Adaptive,40
A10,31,Female,Auditory,Fixed,40,512.557240851477,28.9276426392631,500,143.614066163451,450,3.32192809488736,3.398782556292354,0.180128124845855,Auditory_Fixed,40
A10,31,Female,Auditory,Adaptive,60,527.526226241341,25.131705077806,512.75,57.9087284727729,328,2.52924126798348,3.263149331050973,0.180128124845855,Auditory_Adaptive,60
A10,31,Female,Auditory,Fixed,60,500,28.5066106100471,500,143.614066163451,450,3.32192809488736,3.384614326717875,0.180128124845855,Auditory_Fixed,60
A10,31,Female,Auditory,Adaptive,80,521.039192692096,25.0708794896904,515.775,53.5135438463946,328,2.33932521444582,3.2608189630760447,0.180128124845855,Auditory_Adaptive,80
A10,31,Female,Auditory,Fixed,80,506.265096813921,32.8094084515857,500,143.614066163451,450,3.32192809488736,3.5207391203107647,0.180128124845855,Auditory_Fixed,80
A10,31,Female,Auditory,Adaptive,100,521.074584362271,26.3790418080282,516.85,49.8366080306435,328,2.15739170645053,3.309777823193442,0.180128124845855,Auditory_Adaptive,100
A10,31,Female,Auditory,Fixed,100,500,35.6586636662877,500,143.614066163451,450,3.32192809488736,3.601649789654631,0.180128124845855,Auditory_Fixed,100
A10,31,Female,Auditory,Adaptive,120,517.715557594731,27.2469984948295,517.891666666667,47.3861435149794,328,2.04934184602144,3.3409872039770976,0.180128124845855,Auditory_Adaptive,120
A10,31,Female,Auditory,Fixed,120,504.170831763602,37.1159066499413,500,143.614066163451,450,3.32192809488736,3.6406316923786637,0.180128124845855,Auditory_Fixed,120
A10,31,Female,Auditory,Adaptive,140,517.990754308013,26.2779582227786,517.421428571429,44.778672834468,328,2.08916228754772,3.306078984968156,0.180128124845855,Auditory_Adaptive,140
A10,31,Female,Auditory,Fixed,140,507.152280160805,35.2546760391167,500,143.614066163451,450,3.32192809488736,3.5905683671641793,0.180128124845855,Auditory_Fixed,140
A10,31,Female,Auditory,Adaptive,160,519.740297003346,25.4743813942075,517.5625,42.9114913950797,328,2.02264937136139,3.276177525556604,0.180128124845855,Auditory_Adaptive,160
A10,31,Female,Auditory,Fixed,160,506.265096813922,32.8094084515857,500,143.614066163451,450,3.32192809488736,3.5207391203107647,0.180128124845855,Auditory_Fixed,160
A10,31,Female,Auditory,Adaptive,180,521.49052270731,24.6985050543783,517.366666666667,41.5428694242466,328,1.95725473273805,3.2464328211189484,0.180128124845855,Auditory_Adaptive,180
A10,31,Female,Auditory,Fixed,180,508.347257330584,33.9921181935451,500,143.614066163451,450,3.32192809488736,3.5551228416591916,0.180128124845855,Auditory_Fixed,180
A10,31,Female,Auditory,Adaptive,200,521.429958156794,23.8861066433337,517.735,40.521164531637,328,1.89161753744715,3.214309681618456,0.180128124845855,Auditory_Adaptive,200
A10,31,Female,Auditory,Fixed,200,510.012638235461,34.8623756783995,500,143.614066163451,450,3.32192809488736,3.5796887146831264,0.180128124845855,Auditory_Fixed,200
V01,28,Male,Visual,Adaptive,40,473.37398757519,13.4156445128887,493.95,66.3791947827028,330,2.82658965668423,2.6683140413561053,-0.20586071410954895,Visual_Adaptive,40
V01,28,Male,Visual,Fixed,40,522.588846267004,2.96288105742097,500,143.614066163451,450,3.32192809488736,1.3769713004904092,-0.20586071410954895,Visual_Fixed,40
V01,28,Male,Visual,Adaptive,60,479.906835060553,17.9818250500015,490.116666666667,56.2225019206921,330,2.50106973871786,2.9434819450396286,-0.20586071410954895,Visual_Adaptive,60
V01,28,Male,Visual,Fixed,60,516.78494544225,25.4831467189358,500,143.614066163451,450,3.32192809488736,3.2765085578053004,-0.20586071410954895,Visual_Fixed,60
V01,28,Male,Visual,Adaptive,80,481.673198807376,20.067435990149,487.7125,51.2967332658718,330,2.25771746913015,3.0477285303376482,-0.20586071410954895,Visual_Adaptive,80
V01,28,Male,Visual,Fixed,80,512.557240851477,28.9276426392631,500,143.614066163451,450,3.32192809488736,3.398782556292354,-0.20586071410954895,Visual_Fixed,80
V01,28,Male,Visual,Adaptive,100,483.164713641654,21.0816893923062,487.9,47.9018788775555,330,2.0840362519033,3.0947487308146835,-0.20586071410954895,Visual_Adaptive,100
V01,28,Male,Visual,Fixed,100,515.089480337919,26.969479339093,500,143.614066163451,450,3.32192809488736,3.3311138920635965,-0.20586071410954895,Visual_Fixed,100
V01,28,Male,Visual,Adaptive,120,485.356248479598,20.9806535688616,488.025,45.3351340022283,330,2.01150316335392,3.0901626832404867,-0.20586071410954895,Visual_Adaptive,120
V01,28,Male,Visual,Fixed,120,508.399947770549,27.7879256642205,500,143.614066163451,450,3.32192809488736,3.359956051462861,-0.20586071410954895,Visual_Fixed,120
V01,28,Male,Visual,Adaptive,140,485.574462684914,19.8371480810078,487.657142857143,43.3203633127773,330,1.94039987104982,3.0367373592004174,-0.20586071410954895,Visual_Adaptive,140
V01,28,Male,Visual,Fixed,140,510.754960627555,30.1667461736209,500,143.614066163451,450,3.32192809488736,3.4393516986485473,-0.20586071410954895,Visual_Fixed,140
V01,28,Male,Visual,Adaptive,160,485.811856584941,19.1089891276439,487.49375,41.677481461066,330,1.89651917289762,3.0011669353726367,-0.20586071410954895,Visual_Adaptive,160
V01,28,Male,Visual,Fixed,160,503.135711336889,31.7303778542283,500,143.614066163451,450,3.32192809488736,3.488303633030267,-0.20586071410954895,Visual_Fixed,160
V01,28,Male,Visual,Adaptive,180,485.387063644299,19.5198170622223,487.594444444444,40.7385562966559,330,1.83902813306787,3.02139110516645,-0.20586071410954895,Visual_Adaptive,180
V01,28,Male,Visual,Fixed,180,505.578531078437,30.7735988339014,500,143.614066163451,450,3.32192809488736,3.4586357196091835,-0.20586071410954895,Visual_Fixed,180
V01,28,Male,Visual,Adaptive,200,484.601226719031,20.5309002050472,487.27,39.5322286242504,330,1.79123718418034,3.0694891221625324,-0.20586071410954895,Visual_Adaptive,200
V01,28,Male,Visual,Fixed,200,497.495751395545,34.6225307358945,500,143.614066163451,450,3.32192809488736,3.5729783235099344,-0.20586071410954895,Visual_Fixed,200
V02,27,Female,Visual,Adaptive,40,525.805457627718,47.5887711159155,514.7,81.1468422059663,346,2.63837637173451,3.883392457213355,-0.33452366042801696,Visual_Adaptive,40
V02,27,Female,Visual,Fixed,40,500,35.6586636662877,500,143.614066163451,450,3.32192809488736,3.601649789654631,-0.33452366042801696,Visual_Fixed,40
V02,27,Female,Visual,Adaptive,60,509.036196780373,53.5327260626383,516.45,74.1387044666954,346,2.37586159727003,3.9988009996678424,-0.33452366042801696,Visual_Adaptive,60
V02,27,Female,Visual,Fixed,60,500,46.9949892859359,500,143.614066163451,450,3.32192809488736,3.871096615582553,-0.33452366042801696,Visual_Fixed,60
V02,27,Female,Visual,Adaptive,80,524.864495945375,54.2872729894274,515.9875,71.5802859993588,346,2.22587360291312,4.01254273718425,-0.33452366042801696,Visual_Adaptive,80
V02,27,Female,Visual,Fixed,80,487.489007665427,43.4016424382801,500,143.614066163451,450,3.32192809488736,3.7932764606071525,-0.33452366042801696,Visual_Fixed,80
V02,27,Female,Visual,Adaptive,100,517.608924477179,59.8326598139488,516.28,69.3880508445078,346,2.11635661115316,4.10812681274162,-0.33452366042801696,Visual_Adaptive,100
V02,27,Female,Visual,Fixed,100,484.987774412555,42.9537677160544,500,143.614066163451,450,3.32192809488736,3.7831383477845537,-0.33452366042801696,Visual_Fixed,100
V02,27,Female,Visual,Adaptive,120,512.525208108333,59.9643310785155,516.15,68.1922099656552,346,2.02375453229441,4.11028895673052,-0.33452366042801696,Visual_Adaptive,120
V02,27,Female,Visual,Fixed,120,487.491991697804,39.1452290474588,500,143.614066163451,450,3.32192809488736,3.6925036051243887,-0.33452366042801696,Visual_Fixed,120
V02,27,Female,Visual,Adaptive,140,507.080135871533,60.7336763855518,514.192857142857,68.1482518828904,346,2.06551659520676,4.122829590529908,-0.33452366042801696,Visual_Adaptive,140
V02,27,Female,Visual,Fixed,140,478.555648584401,42.5931821317794,500,143.614066163451,450,3.32192809488736,3.7749007650031112,-0.33452366042801696,Visual_Fixed,140
V02,27,Female,Visual,Adaptive,160,504.925304454889,61.6818088842805,511.09375,68.5948974847073,346,2.29168200246321,4.138071276105875,-0.33452366042801696,Visual_Adaptive,160
V02,27,Female,Visual,Fixed,160,481.240110065321,39.9760177058685,500,143.614066163451,450,3.32192809488736,3.712986961560466,-0.33452366042801696,Visual_Fixed,160
V02,27,Female,Visual,Adaptive,180,501.292326109392,59.4072544403802,506.516666666667,69.7617751908434,346,2.47967046541991,4.101109204357357,-0.33452366042801696,Visual_Adaptive,180
V02,27,Female,Visual,Fixed,180,474.988577184138,40.2546104936679,500,143.614066163451,450,3.32192809488736,3.7197628760784043,-0.33452366042801696,Visual_Fixed,180
V02,27,Female,Visual,Adaptive,200,495.369014354844,62.7299548515097,501.92,70.1090122594806,346,2.66263309886505,4.1546547008920856,-0.33452366042801696,Visual_Adaptive,200
V02,27,Female,Visual,Fixed,200,474.98391119085,41.9678013931387,500,143.614066163451,450,3.32192809488736,3.76045103038848,-0.33452366042801696,Visual_Fixed,200
V03,27,Female,Visual,Adaptive,40,511.863996148504,37.3521336890329,502.2,77.3806177282141,335,2.9614712003471,3.646810163528488,-0.33452366042801696,Visual_Adaptive,40
V03,27,Female,Visual,Fixed,40,462.556200632263,28.9299346699428,500,143.614066163451,450,3.32192809488736,3.3988591391005416,-0.33452366042801696,Visual_Fixed,40
V03,27,Female,Visual,Adaptive,60,502.614133097055,32.8423541171503,500.483333333333,71.3637376792693,335,2.67419992408776,3.5217130984280556,-0.33452366042801696,Visual_Adaptive,60
V03,27,Female,Visual,Fixed,60,466.784740848404,25.4835557745275,500,143.614066163451,450,3.32192809488736,3.2765240035692407,-0.33452366042801696,Visual_Fixed,60
V03,27,Female,Visual,Adaptive,80,500.145971264944,36.7162823169788,496.9125,65.6033904897453,335,2.65471479941033,3.6300918929126413,-0.33452366042801696,Visual_Adaptive,80
V03,27,Female,Visual,Fixed,80,481.219016163708,29.9910569870712,500,143.614066163451,450,3.32192809488736,3.4336986785775236,-0.33452366042801696,Visual_Fixed,80
V03,27,Female,Visual,Adaptive,100,499.337398868275,33.2910902435476,496.75,61.2337121200405,335,2.58582015570666,3.534885560765174,-0.33452366042801696,Visual_Adaptive,100
V03,27,Female,Visual,Fixed,100,484.97307440712,31.7178686506311,500,143.614066163451,450,3.32192809488736,3.487921370573515,-0.33452366042801696,Visual_Fixed,100
V03,27,Female,Visual,Adaptive,120,493.73665385189,33.1499380920121,496.858333333333,57.315980295396,335,2.57206820541999,3.5307607731897415,-0.33452366042801696,Visual_Adaptive,120
V03,27,Female,Visual,Fixed,120,491.655840599197,35.1076312829868,500,143.614066163451,450,3.32192809488736,3.5865042358790293,-0.33452366042801696,Visual_Fixed,120
V03,27,Female,Visual,Adaptive,140,491.663428396579,33.2698831713414,495.821428571429,54.7831136466003,335,2.53502751598525,3.534266926815676,-0.33452366042801696,Visual_Adaptive,140
V03,27,Female,Visual,Fixed,140,489.267066221814,33.2852757210811,500,143.614066163451,450,3.32192809488736,3.5347159827363983,-0.33452366042801696,Visual_Fixed,140
V03,27,Female,Visual,Adaptive,160,488.189592636498,32.8281476949312,495.24375,52.8404138509295,335,2.52319064505057,3.5212932279661144,-0.33452366042801696,Visual_Adaptive,160
V03,27,Female,Visual,Fixed,160,484.352598057044,32.3636475707475,500,143.614066163451,450,3.32192809488736,3.507466911164107,-0.33452366042801696,Visual_Fixed,160
V03,27,Female,Visual,Adaptive,180,490.725652887521,35.1229602118687,496.155555555556,52.5704630020215,335,2.48960372643315,3.586928680115046,-0.33452366042801696,Visual_Adaptive,180
V03,27,Female,Visual,Fixed,180,480.535176466681,31.3299149672711,500,143.614066163451,450,3.32192809488736,3.47599296158452,-0.33452366042801696,Visual_Fixed,180
V03,27,Female,Visual,Adaptive,200,492.065808178573,34.5422244773763,497.455,53.9278960742954,335,2.57825252763998,3.57072141157747,-0.33452366042801696,Visual_Adaptive,200
V03,27,Female,Visual,Fixed,200,482.47886300471,32.0906848193496,500,143.614066163451,450,3.32192809488736,3.4992518173781657,-0.33452366042801696,Visual_Fixed,200
V04,50,Male,Visual,Adaptive,40,494.641605440415,23.0464044930366,496.45,66.3882331441348,345,2.80235800093209,3.179985484046293,2.624724104896747,Visual_Adaptive,40
V04,50,Male,Visual,Fixed,40,487.480789077884,47.3187616589509,500,143.614066163451,450,3.32192809488736,3.877819925379096,2.624724104896747,Visual_Fixed,40
V04,50,Male,Visual,Adaptive,60,492.177056702162,17.4752932859755,493.116666666667,57.752948457681,345,2.53087084901161,2.9164343414565987,2.624724104896747,Visual_Adaptive,60
V04,50,Male,Visual,Fixed,60,500,41.6743075241637,500,143.614066163451,450,3.32192809488736,3.75359704181572,2.624724104896747,Visual_Fixed,60
